discordUser,member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_gbm_year,gbm_ratio,n_social_year,social_ratio,n_hello_world_year,hello_world_ratio,n_sponsorship_year,sponsorship_ratio,n_tech_exploration_year,tech_exploration_ratio,n_class_support_year,class_support_ratio,n_workshop_year,workshop_ratio,n_ops_year,ops_ratio,n_collabs_year,collabs_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,class,major,school,gender,race_or_ethnicity,y_paid_dues
calebbbbb._,57,1,1,1,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,1,1,56,0,1,1,1,2,Junior,Computer Engineering,University of Central Florida,Man,White,1
jeterjonathan32,265,1,1,1,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,0,1,402,0,0,0,0,2,Junior,Computer Science,University of Central Florida,Man,White,1
skyclo,265,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1533,0,150,64,5,17,Senior,Computer Science,University of Central Florida,Man,Other,1
fireburn006,69,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,81,0,1,1,1,2,Freshman,Computer Science,University of Central Florida,Man,Asian,1
hundredfaces24,76,1,2,2,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,781,0,0,0,0,5,Junior,Information Technology,University of Central Florida,Man,Prefer not to answer,1
jeangonzalez425,76,3,3,3,1,0.3333333333333333,0,,1,0.3333333333333333,0,,0,,0,,0,,0,,1,0.3333333333333333,0,,0,0,1,83,0,1,1,1,1,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
cholesterol37,90,5,7,3,0,,0,,2,0.4,0,,1,0.2,0,,0,,1,0.2,1,0.2,0,,0,1,1,89,0,1,1,1,5,High School,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
morallyearlgrey,308,8,9,6,2,0.25,0,,0,,0,,0,,0,,0,,6,0.75,0,,0,,0,0,1,456,1,177,27,5,24,Sophomore,Computer Science,University of Central Florida,Woman,White,1
kai4251,244,3,5,2,1,0.3333333333333333,0,,1,0.3333333333333333,0,,0,,0,,0,,1,0.3333333333333333,0,,0,,0,0,1,243,0,31,6,5,4,Sophomore,Computer Science,University of Central Florida,Man,Asian,1
gorillaman35,225,12,17,7,1,0.08333333333333333,1,0.08333333333333333,2,0.16666666666666666,0,,0,,0,,0,,6,0.5,2,0.16666666666666666,0,,0,1,1,229,1,29,8,6,16,Junior,Computer Science,University of Central Florida,Man,Prefer not to answer,1
bigmwastaken,110,0,2,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,439,0,0,0,0,3,Senior,Information Technology,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
retromonos,229,3,3,2,1,0.3333333333333333,0,,1,0.3333333333333333,0,,0,,0,,0,,1,0.3333333333333333,0,,0,,0,1,1,813,1,219,49,6,24,Junior,Computer Science,University of Central Florida,Man,White,1
probablydalia,79,4,4,2,1,0.25,0,,1,0.25,0,,0,,0,,0,,2,0.5,0,,0,,0,0,1,86,1,25,6,3,9,Freshman,Computer Science,University of Central Florida,Woman,Hispanic / Latino / Spanish Origin,1
jasc1204,174,1,3,2,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,792,0,28,8,2,13,Alumni,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
.datboinick,224,3,3,2,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,,0,,0,,0,,0,,0,,0,,0,1,1,224,0,1,1,1,2,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
wispbun,165,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,181,1,51,7,3,18,Junior,Computer Science,University of Central Florida,Woman,Middle Eastern,1
